B-V;Lum;GrpName
0.263;35.71;Hyades
0.557;2.5;Hyades
0.262;32.15;Hyades
0.651;1.14;Hyades
0.841;0.46;AB Doradus
0.664;1.15;Hyades
1.358;0.13;Hyades
1.033;0.37;Hyades
1.146;0.17;Hyades
0.537;2.17;Hyades
0.56;2;Hyades
0.929;0.48;Hyades
0.27;9.46;Hyades
0.839;0.53;Hyades
0.325;11.79;Hyades
0.952;75.65;Hyades
1.014;96.03;Hyades
0.741;0.78;Hyades
0.179;77.23;Hyades
0.609;1.49;Hyades
0.215;19.32;Hyades
0.536;4.73;Hyades
0.526;2.6;Hyades
0.451;3.29;Hyades
0.766;0.77;Hyades
0.831;0.47;Hyades
0.865;0.41;Hyades
0.324;10.18;Hyades
0.47;2.9;Hyades
0.17;19.03;Hyades
0.263;11.7;Hyades
0.258;10.83;Hyades
0.428;3.86;Hyades
0.472;2.72;Hyades
0.734;0.76;Hyades
0.54;1.92;Hyades
0.987;0.37;Hyades
0.338;6.67;Hyades
0.42;4.68;Hyades
1.237;0.11;Hyades
1.197;0.17;Hyades
0.429;3.99;Hyades
0.255;26.86;Hyades
0.847;0.73;Hyades
-0.079;171.4;Tucana / Horologium
0.631;1.33;Hyades
0.433;3.73;Tucana / Horologium
0.442;4.04;Hyades
1.104;0.25;Hyades
0.597;1.56;Hyades
0.312;8.26;Hyades
0.122;36.56;Hyades
0.223;23.28;NGC 1647
0.611;1.17;Tucana / Horologium
0.576;1.75;Hyades
0.655;1.31;Hyades
0.257;14.09;Hyades
0.147;25.93;Hyades
1.073;0.23;Hyades
0.811;0.69;Hyades
1.096;0.43;Hyades
0.688;0.83;Hyades
0.251;12.14;Hyades
0.355;22.29;NGC 1647
0.197;31.28;Hyades
1.499;150.37;NGC 1647
1.277;0.13;Hyades
0.243;6.84;NGC 1647
0.665;1;Hyades
0.56;1.78;Hyades
0.967;0.3;Hyades
1.112;0.27;Hyades
0.72;1;Hyades
1.174;0.16;Hyades
0.538;1.8;Tucana / Horologium
0.843;0.64;Hyades
0.25;4.46;NGC 1647
0.833;0.54;Hyades
1.052;0.49;Hyades
0.578;1.78;Hyades
0.171;48.58;Platais 4
0.623;1.94;Hyades
0.563;3.26;Hyades
0.74;1.41;Hyades
0.536;2.87;Hyades
0.543;3.7;Hyades
0.214;20.18;Hyades
0.527;1.99;Hyades
0.502;4.31;Hyades
1.07;0.21;Hyades
0.731;3.19;Platais 4
0.442;2.97;Tucana / Horologium
0.292;9.77;Hyades
0.539;7.49;Platais 4
